# Active ISO 4217 List One codes, based on the SIX maintenance-agency list published 2026-01-01.
# word_re is the Ukrainian word-form regex fragment matched after an amount (empty = none).
# trailing_symbol: also match a bare "<digits> <symbol>" pattern.
# minor_digits is the ISO minor-unit exponent; 0 is also used for N.A. fund/metal/test codes.
# Order matters: earlier currencies win when patterns overlap.
code	symbol	word_re	main_one	main_few	main_many	main_fem	sub_one	sub_few	sub_many	sub_fem	trailing_symbol	minor_digits
MYR			малайзійський рингіт	малайзійські рингіти	малайзійських рингітів	0	сен	сени	сенів	0	0	2
MVR			мальдівська руфія	мальдівські руфії	мальдівських руфій	1	ларі	ларі	ларі	0	0	2
MRU			мавританська угія	мавританські угії	мавританських угій	1	хумс	хумси	хумсів	0	0	2
MUR			маврикійська рупія	маврикійські рупії	маврикійських рупій	1	цент	центи	центів	0	0	2
XUA			розрахункова одиниця Азійського банку розвитку	розрахункові одиниці Азійського банку розвитку	розрахункових одиниць Азійського банку розвитку	1	частина	частини	частин	1	0	0
MXV			мексиканська інвестиційна одиниця	мексиканські інвестиційні одиниці	мексиканських інвестиційних одиниць	1	сота частина	соті частини	сотих частин	1	0	2
MDL			молдовський лей	молдовські леї	молдовських леїв	0	бан	бани	банів	0	0	2
MNT	₮		монгольський тугрик	монгольські тугрики	монгольських тугриків	0	мунгу	мунгу	мунгу	0	1	2
MAD			марокканський дирхам	марокканські дирхами	марокканських дирхамів	0	сантим	сантими	сантимів	0	0	2
MZN			мозамбіцький метикал	мозамбіцькі метикали	мозамбіцьких метикалів	0	сентаво	сентаво	сентаво	0	0	2
MMK			м'янманський к'ят	м'янманські к'яти	м'янманських к'ятів	0	п'я	п'я	п'я	0	0	2
NAD			намібійський долар	намібійські долари	намібійських доларів	0	цент	центи	центів	0	0	2
NPR			непальська рупія	непальські рупії	непальських рупій	1	пайса	пайси	пайс	1	0	2
NIO			нікарагуанська кордоба	нікарагуанські кордоби	нікарагуанських кордоб	1	сентаво	сентаво	сентаво	0	0	2
NGN	₦		нігерійська найра	нігерійські найри	нігерійських найр	1	кобо	кобо	кобо	0	1	2
OMR			оманський ріал	оманські ріали	оманських ріалів	0	байза	байзи	байз	1	0	3
PKR			пакистанська рупія	пакистанські рупії	пакистанських рупій	1	пайса	пайси	пайс	1	0	2
PAB			панамський бальбоа	панамські бальбоа	панамських бальбоа	0	сентесимо	сентесимо	сентесимо	0	0	2
PGK			кіна Папуа Нової Гвінеї	кіни Папуа Нової Гвінеї	кін Папуа Нової Гвінеї	1	тойя	тойї	той	1	0	2
PYG	₲		парагвайський гуарані	парагвайські гуарані	парагвайських гуарані	0	сентимо	сентимо	сентимо	0	1	0
PEN			перуанський соль	перуанські солі	перуанських солів	0	сентимо	сентимо	сентимо	0	0	2
PHP	₱		філіппінське песо	філіппінські песо	філіппінських песо	0	сентимо	сентимо	сентимо	0	1	2
QAR			катарський ріал	катарські ріали	катарських ріалів	0	дирхам	дирхами	дирхамів	0	0	2
RON			румунський лей	румунські леї	румунських леїв	0	бан	бани	банів	0	0	2
RWF			руандійський франк	руандійські франки	руандійських франків	0	сантим	сантими	сантимів	0	0	0
SHP			фунт Святої Єлени	фунти Святої Єлени	фунтів Святої Єлени	0	пенс	пенси	пенсів	0	0	2
WST			самоанська тала	самоанські тали	самоанських тал	1	сене	сене	сене	0	0	2
STN			добра Сан-Томе і Принсіпі	добри Сан-Томе і Принсіпі	добр Сан-Томе і Принсіпі	1	сентимо	сентимо	сентимо	0	0	2
SAR			саудівський ріял	саудівські ріяли	саудівських ріялів	0	халала	халали	халал	1	0	2
RSD			сербський динар	сербські динари	сербських динарів	0	пара	пари	пар	1	0	2
SCR			сейшельська рупія	сейшельські рупії	сейшельських рупій	1	цент	центи	центів	0	0	2
SLE			сьєрра-леонський леоне	сьєрра-леонські леоне	сьєрра-леонських леоне	0	цент	центи	центів	0	0	2
XSU			сукре	сукре	сукре	0	частина	частини	частин	1	0	0
SBD			долар Соломонових Островів	долари Соломонових Островів	доларів Соломонових Островів	0	цент	центи	центів	0	0	2
SOS			сомалійський шилінг	сомалійські шилінги	сомалійських шилінгів	0	цент	центи	центів	0	0	2
SSP			південносуданський фунт	південносуданські фунти	південносуданських фунтів	0	піастр	піастри	піастрів	0	0	2
LKR			шрі-ланкійська рупія	шрі-ланкійські рупії	шрі-ланкійських рупій	1	цент	центи	центів	0	0	2
SDG			суданський фунт	суданські фунти	суданських фунтів	0	піастр	піастри	піастрів	0	0	2
SRD			суринамський долар	суринамські долари	суринамських доларів	0	цент	центи	центів	0	0	2
CHE			вейр-євро	вейр-євро	вейр-євро	0	сота частина	соті частини	сотих частин	1	0	2
CHW			вейр-франк	вейр-франки	вейр-франків	0	сантим	сантими	сантимів	0	0	2
SYP			сирійський фунт	сирійські фунти	сирійських фунтів	0	піастр	піастри	піастрів	0	0	2
TWD			новий тайванський долар	нові тайванські долари	нових тайванських доларів	0	цент	центи	центів	0	0	2
TJS			таджицький сомоні	таджицькі сомоні	таджицьких сомоні	0	дирам	дирами	дирамів	0	0	2
TZS			танзанійський шилінг	танзанійські шилінги	танзанійських шилінгів	0	цент	центи	центів	0	0	2
THB	฿		тайський бат	тайські бати	тайських батів	0	сатанг	сатанги	сатангів	0	1	2
TOP			тонганська паанга	тонганські паанги	тонганських паанг	1	сеніті	сеніті	сеніті	0	0	2
TTD			долар Тринідаду і Тобаго	долари Тринідаду і Тобаго	доларів Тринідаду і Тобаго	0	цент	центи	центів	0	0	2
TND			туніський динар	туніські динари	туніських динарів	0	мілім	міліми	мілімів	0	0	3
TMT			туркменський манат	туркменські манати	туркменських манатів	0	тенге	тенге	тенге	0	0	2
UGX			угандійський шилінг	угандійські шилінги	угандійських шилінгів	0	цент	центи	центів	0	0	0
AED			дирхам ОАЕ	дирхами ОАЕ	дирхамів ОАЕ	0	філс	філси	філсів	0	0	2
USN			долар США наступного дня	долари США наступного дня	доларів США наступного дня	0	цент	центи	центів	0	0	2
UYU			уругвайське песо	уругвайські песо	уругвайських песо	0	сентесимо	сентесимо	сентесимо	0	0	2
UYI			уругвайське песо в індексованих одиницях	уругвайські песо в індексованих одиницях	уругвайських песо в індексованих одиницях	0	частина	частини	частин	1	0	0
UYW			уругвайська прогнозна одиниця	уругвайські прогнозні одиниці	уругвайських прогнозних одиниць	1	десятитисячна частина	десятитисячні частини	десятитисячних частин	1	0	4
UZS			узбецький сум	узбецькі суми	узбецьких сумів	0	тіїн	тіїни	тіїнів	0	0	2
VUV			вануатський вату	вануатські вату	вануатських вату	0	частина	частини	частин	1	0	0
VES			венесуельський болівар	венесуельські болівари	венесуельських боліварів	0	сентимо	сентимо	сентимо	0	0	2
VED			цифровий венесуельський болівар	цифрові венесуельські болівари	цифрових венесуельських боліварів	0	сентимо	сентимо	сентимо	0	0	2
VND	₫		в'єтнамський донг	в'єтнамські донги	в'єтнамських донгів	0	хао	хао	хао	0	1	0
YER			єменський ріал	єменські ріали	єменських ріалів	0	філс	філси	філсів	0	0	2
ZMW			замбійська квача	замбійські квачі	замбійських квач	1	нгве	нгве	нгве	0	0	2
ZWG			одиниця зімбабвійського золота	одиниці зімбабвійського золота	одиниць зімбабвійського золота	1	цент	центи	центів	0	0	2
XBA			європейська комбінована одиниця	європейські комбіновані одиниці	європейських комбінованих одиниць	1	частина	частини	частин	1	0	0
XBB			європейська валютна одиниця	європейські валютні одиниці	європейських валютних одиниць	1	частина	частини	частин	1	0	0
XBC			європейська розрахункова одиниця дев'ять	європейські розрахункові одиниці дев'ять	європейських розрахункових одиниць дев'ять	1	частина	частини	частин	1	0	0
XBD			європейська розрахункова одиниця сімнадцять	європейські розрахункові одиниці сімнадцять	європейських розрахункових одиниць сімнадцять	1	частина	частини	частин	1	0	0
XTS			тестова валютна одиниця	тестові валютні одиниці	тестових валютних одиниць	1	частина	частини	частин	1	0	0
XXX			одиниця без валюти	одиниці без валюти	одиниць без валюти	1	частина	частини	частин	1	0	0
XAU			тройська унція золота	тройські унції золота	тройських унцій золота	1	частина	частини	частин	1	0	0
XPD			тройська унція паладію	тройські унції паладію	тройських унцій паладію	1	частина	частини	частин	1	0	0
XPT			тройська унція платини	тройські унції платини	тройських унцій платини	1	частина	частини	частин	1	0	0
XAG			тройська унція срібла	тройські унції срібла	тройських унцій срібла	1	частина	частини	частин	1	0	0
