key	one	few	many	gender
година	година	години	годин	f
години	година	години	годин	f
годин	година	години	годин	f
хвилина	хвилина	хвилини	хвилин	f
хвилини	хвилина	хвилини	хвилин	f
хвилин	хвилина	хвилини	хвилин	f
секунда	секунда	секунди	секунд	f
секунди	секунда	секунди	секунд	f
секунд	секунда	секунди	секунд	f
задача	задача	задачі	задач	f
задачі	задача	задачі	задач	f
задач	задача	задачі	задач	f
квиток	квиток	квитки	квитків	m
квитки	квиток	квитки	квитків	m
квитків	квиток	квитки	квитків	m
пристрій	пристрій	пристрої	пристроїв	m
пристрої	пристрій	пристрої	пристроїв	m
пристроїв	пристрій	пристрої	пристроїв	m
сервер	сервер	сервери	серверів	m
сервери	сервер	сервери	серверів	m
серверів	сервер	сервери	серверів	m
сайт	сайт	сайти	сайтів	m
сайти	сайт	сайти	сайтів	m
сайтів	сайт	сайти	сайтів	m
запис	запис	записи	записів	m
записи	запис	записи	записів	m
записів	запис	записи	записів	m
рядок	рядок	рядки	рядків	m
рядки	рядок	рядки	рядків	m
рядків	рядок	рядки	рядків	m
курс	курс	курси	курсів	m
курси	курс	курси	курсів	m
курсів	курс	курси	курсів	m
слово	слово	слова	слів	n
слова	слово	слова	слів	n
слів	слово	слова	слів	n
# Places, software, people, and publications.
будинок	будинок	будинки	будинків	m
будинки	будинок	будинки	будинків	m
будинків	будинок	будинки	будинків	m
квартира	квартира	квартири	квартир	f
квартири	квартира	квартири	квартир	f
квартир	квартира	квартири	квартир	f
кімната	кімната	кімнати	кімнат	f
кімнати	кімната	кімнати	кімнат	f
кімнат	кімната	кімнати	кімнат	f
офіс	офіс	офіси	офісів	m
офіси	офіс	офіси	офісів	m
офісів	офіс	офіси	офісів	m
магазин	магазин	магазини	магазинів	m
магазини	магазин	магазини	магазинів	m
магазинів	магазин	магазини	магазинів	m
школа	школа	школи	шкіл	f
школи	школа	школи	шкіл	f
шкіл	школа	школи	шкіл	f
компанія	компанія	компанії	компаній	f
компанії	компанія	компанії	компаній	f
компаній	компанія	компанії	компаній	f
країна	країна	країни	країн	f
країни	країна	країни	країн	f
країн	країна	країни	країн	f
область	область	області	областей	f
області	область	області	областей	f
областей	область	області	областей	f
вулиця	вулиця	вулиці	вулиць	f
вулиці	вулиця	вулиці	вулиць	f
вулиць	вулиця	вулиці	вулиць	f
дорога	дорога	дороги	доріг	f
дороги	дорога	дороги	доріг	f
доріг	дорога	дороги	доріг	f
машина	машина	машини	машин	f
машини	машина	машини	машин	f
машин	машина	машини	машин	f
автомобіль	автомобіль	автомобілі	автомобілів	m
автомобілі	автомобіль	автомобілі	автомобілів	m
автомобілів	автомобіль	автомобілі	автомобілів	m
автобус	автобус	автобуси	автобусів	m
автобуси	автобус	автобуси	автобусів	m
автобусів	автобус	автобуси	автобусів	m
поїзд	поїзд	поїзди	поїздів	m
поїзди	поїзд	поїзди	поїздів	m
поїздів	поїзд	поїзди	поїздів	m
літак	літак	літаки	літаків	m
літаки	літак	літаки	літаків	m
літаків	літак	літаки	літаків	m
пакет	пакет	пакети	пакетів	m
пакети	пакет	пакети	пакетів	m
пакетів	пакет	пакети	пакетів	m
лист	лист	листи	листів	m
листи	лист	листи	листів	m
листів	лист	листи	листів	m
номер	номер	номери	номерів	m
номери	номер	номери	номерів	m
номерів	номер	номери	номерів	m
приклад	приклад	приклади	прикладів	m
приклади	приклад	приклади	прикладів	m
прикладів	приклад	приклади	прикладів	m
програма	програма	програми	програм	f
програми	програма	програми	програм	f
програм	програма	програми	програм	f
додаток	додаток	додатки	додатків	m
додатки	додаток	додатки	додатків	m
додатків	додаток	додатки	додатків	m
застосунок	застосунок	застосунки	застосунків	m
застосунки	застосунок	застосунки	застосунків	m
застосунків	застосунок	застосунки	застосунків	m
проєкт	проєкт	проєкти	проєктів	m
проєкти	проєкт	проєкти	проєктів	m
проєктів	проєкт	проєкти	проєктів	m
система	система	системи	систем	f
системи	система	системи	систем	f
систем	система	системи	систем	f
мережа	мережа	мережі	мереж	f
мережі	мережа	мережі	мереж	f
мереж	мережа	мережі	мереж	f
запит	запит	запити	запитів	m
запити	запит	запити	запитів	m
запитів	запит	запити	запитів	m
відповідь	відповідь	відповіді	відповідей	f
відповіді	відповідь	відповіді	відповідей	f
відповідей	відповідь	відповіді	відповідей	f
команда	команда	команди	команд	f
команди	команда	команди	команд	f
команд	команда	команди	команд	f
тест	тест	тести	тестів	m
тести	тест	тести	тестів	m
тестів	тест	тести	тестів	m
версія	версія	версії	версій	f
версії	версія	версії	версій	f
версій	версія	версії	версій	f
таблиця	таблиця	таблиці	таблиць	f
таблиці	таблиця	таблиці	таблиць	f
таблиць	таблиця	таблиці	таблиць	f
база	база	бази	баз	f
бази	база	бази	баз	f
баз	база	бази	баз	f
ключ	ключ	ключі	ключів	m
ключі	ключ	ключі	ключів	m
ключів	ключ	ключі	ключів	m
порт	порт	порти	портів	m
порти	порт	порти	портів	m
портів	порт	порти	портів	m
канал	канал	канали	каналів	m
канали	канал	канали	каналів	m
каналів	канал	канали	каналів	m
повідомлення	повідомлення	повідомлення	повідомлень	n
повідомлень	повідомлення	повідомлення	повідомлень	n
замовлення	замовлення	замовлення	замовлень	n
замовлень	замовлення	замовлення	замовлень	n
рішення	рішення	рішення	рішень	n
рішень	рішення	рішення	рішень	n
завдання	завдання	завдання	завдань	n
завдань	завдання	завдання	завдань	n
оновлення	оновлення	оновлення	оновлень	n
оновлень	оновлення	оновлення	оновлень	n
правило	правило	правила	правил	n
правила	правило	правила	правил	n
правил	правило	правила	правил	n
поле	поле	поля	полів	n
поля	поле	поля	полів	n
полів	поле	поля	полів	n
значення	значення	значення	значень	n
значень	значення	значення	значень	n
зображення	зображення	зображення	зображень	n
зображень	зображення	зображення	зображень	n
студент	студент	студенти	студентів	m
студенти	студент	студенти	студентів	m
студентів	студент	студенти	студентів	m
учень	учень	учні	учнів	m
учні	учень	учні	учнів	m
учнів	учень	учні	учнів	m
вчитель	вчитель	вчителі	вчителів	m
вчителі	вчитель	вчителі	вчителів	m
вчителів	вчитель	вчителі	вчителів	m
лікар	лікар	лікарі	лікарів	m
лікарі	лікар	лікарі	лікарів	m
лікарів	лікар	лікарі	лікарів	m
пацієнт	пацієнт	пацієнти	пацієнтів	m
пацієнти	пацієнт	пацієнти	пацієнтів	m
пацієнтів	пацієнт	пацієнти	пацієнтів	m
працівник	працівник	працівники	працівників	m
працівники	працівник	працівники	працівників	m
працівників	працівник	працівники	працівників	m
клієнт	клієнт	клієнти	клієнтів	m
клієнти	клієнт	клієнти	клієнтів	m
клієнтів	клієнт	клієнти	клієнтів	m
покупець	покупець	покупці	покупців	m
покупці	покупець	покупці	покупців	m
покупців	покупець	покупці	покупців	m
гість	гість	гості	гостей	m
гості	гість	гості	гостей	m
гостей	гість	гості	гостей	m
жінка	жінка	жінки	жінок	f
жінки	жінка	жінки	жінок	f
жінок	жінка	жінки	жінок	f
чоловік	чоловік	чоловіки	чоловіків	m
чоловіки	чоловік	чоловіки	чоловіків	m
чоловіків	чоловік	чоловіки	чоловіків	m
пляшка	пляшка	пляшки	пляшок	f
пляшки	пляшка	пляшки	пляшок	f
пляшок	пляшка	пляшки	пляшок	f
коробка	коробка	коробки	коробок	f
коробки	коробка	коробки	коробок	f
коробок	коробка	коробки	коробок	f
порція	порція	порції	порцій	f
порції	порція	порції	порцій	f
порцій	порція	порції	порцій	f
рецепт	рецепт	рецепти	рецептів	m
рецепти	рецепт	рецепти	рецептів	m
рецептів	рецепт	рецепти	рецептів	m
стаття	стаття	статті	статей	f
статті	стаття	статті	статей	f
статей	стаття	статті	статей	f
книжка	книжка	книжки	книжок	f
книжки	книжка	книжки	книжок	f
книжок	книжка	книжки	книжок	f
журнал	журнал	журнали	журналів	m
журнали	журнал	журнали	журналів	m
журналів	журнал	журнали	журналів	m
газета	газета	газети	газет	f
газети	газета	газети	газет	f
газет	газета	газети	газет	f
доба	доба	доби	діб	f
доби	доба	доби	діб	f
діб	доба	доби	діб	f
