key	one	few	many	decimal	gender
км²	квадратний кілометр	квадратні кілометри	квадратних кілометрів	квадратного кілометра	m
км2	квадратний кілометр	квадратні кілометри	квадратних кілометрів	квадратного кілометра	m
м³	кубічний метр	кубічні метри	кубічних метрів	кубічного метра	m
м3	кубічний метр	кубічні метри	кубічних метрів	кубічного метра	m
см³	кубічний сантиметр	кубічні сантиметри	кубічних сантиметрів	кубічного сантиметра	m
см3	кубічний сантиметр	кубічні сантиметри	кубічних сантиметрів	кубічного сантиметра	m
см³/год	кубічний сантиметр за годину	кубічні сантиметри за годину	кубічних сантиметрів за годину	кубічного сантиметра за годину	m
см3/год	кубічний сантиметр за годину	кубічні сантиметри за годину	кубічних сантиметрів за годину	кубічного сантиметра за годину	m
км/год	кілометр на годину	кілометри на годину	кілометрів на годину	кілометра на годину	m
м/с	метр за секунду	метри за секунду	метрів за секунду	метра за секунду	m
м/с²	метр за секунду в квадраті	метри за секунду в квадраті	метрів за секунду в квадраті	метра за секунду в квадраті	m
m/s²	метр за секунду в квадраті	метри за секунду в квадраті	метрів за секунду в квадраті	метра за секунду в квадраті	m
m/s2	метр за секунду в квадраті	метри за секунду в квадраті	метрів за секунду в квадраті	метра за секунду в квадраті	m
м/с2	метр за секунду в квадраті	метри за секунду в квадраті	метрів за секунду в квадраті	метра за секунду в квадраті	m
км/с	кілометр за секунду	кілометри за секунду	кілометрів за секунду	кілометра за секунду	m
л/100км	літр на сто кілометрів	літри на сто кілометрів	літрів на сто кілометрів	літра на сто кілометрів	m
л/100 км	літр на сто кілометрів	літри на сто кілометрів	літрів на сто кілометрів	літра на сто кілометрів	m
L/100km	літр на сто кілометрів	літри на сто кілометрів	літрів на сто кілометрів	літра на сто кілометрів	m
кг/м³	кілограм на кубічний метр	кілограми на кубічний метр	кілограмів на кубічний метр	кілограма на кубічний метр	m
кг/м3	кілограм на кубічний метр	кілограми на кубічний метр	кілограмів на кубічний метр	кілограма на кубічний метр	m
г/см³	грам на кубічний сантиметр	грами на кубічний сантиметр	грамів на кубічний сантиметр	грама на кубічний сантиметр	m
г/см3	грам на кубічний сантиметр	грами на кубічний сантиметр	грамів на кубічний сантиметр	грама на кубічний сантиметр	m
Гц	герц	герци	герц	герца	m
кГц	кілогерц	кілогерци	кілогерц	кілогерца	m
МГц	мегагерц	мегагерци	мегагерц	мегагерца	m
ГГц	гігагерц	гігагерци	гігагерц	гігагерца	m
мс	мілісекунда	мілісекунди	мілісекунд	мілісекунди	f
об/хв	оберт за хвилину	оберти за хвилину	обертів за хвилину	оберта за хвилину	m
rpm	оберт за хвилину	оберти за хвилину	обертів за хвилину	оберта за хвилину	m
Па	паскаль	паскалі	паскалів	паскаля	m
Pa	паскаль	паскалі	паскалів	паскаля	m
кПа	кілопаскаль	кілопаскалі	кілопаскалів	кілопаскаля	m
МПа	мегапаскаль	мегапаскалі	мегапаскалів	мегапаскаля	m
бар	бар	бари	барів	бара	m
атм	атмосфера	атмосфери	атмосфер	атмосфери	f
Вт	ват	вати	ват	вата	m
W	ват	вати	ват	вата	m
кВт	кіловат	кіловати	кіловат	кіловата	m
МВт	мегават	мегавати	мегават	мегавата	m
Вт·год	ват-година	ват-години	ват-годин	ват-години	f
кВт·год	кіловат-година	кіловат-години	кіловат-годин	кіловат-години	f
кВт-год	кіловат-година	кіловат-години	кіловат-годин	кіловат-години	f
Дж	джоуль	джоулі	джоулів	джоуля	m
J	джоуль	джоулі	джоулів	джоуля	m
кДж	кілоджоуль	кілоджоулі	кілоджоулів	кілоджоуля	m
МДж	мегаджоуль	мегаджоулі	мегаджоулів	мегаджоуля	m
В	вольт	вольти	вольт	вольта	m
V	вольт	вольти	вольт	вольта	m
мВ	мілівольт	мілівольти	мілівольт	мілівольта	m
кВ	кіловольт	кіловольти	кіловольт	кіловольта	m
МВ	мегавольт	мегавольти	мегавольт	мегавольта	m
А	ампер	ампери	ампер	ампера	m
A	ампер	ампери	ампер	ампера	m
Ом	ом	оми	омів	ома	m
моль	моль	молі	молів	моля	m
ммоль	мілімоль	мілімолі	мілімолів	мілімоля	m
дБ	децибел	децибели	децибелів	децибела	m
dB	децибел	децибели	децибелів	децибела	m
дБм	децибел-міліват	децибел-мілівати	децибел-міліват	децибел-мілівата	m
ppm	частина на мільйон	частини на мільйон	частин на мільйон	частини на мільйон	f
bps	базисний пункт	базисні пункти	базисних пунктів	базисного пункту	m
б.п.	базисний пункт	базисні пункти	базисних пунктів	базисного пункту	m
dpi	точка на дюйм	точки на дюйм	точок на дюйм	точки на дюйм	f
fps	кадр за секунду	кадри за секунду	кадрів за секунду	кадра за секунду	m
байт	байт	байти	байт	байта	m
КБ	кілобайт	кілобайти	кілобайт	кілобайта	m
МБ	мегабайт	мегабайти	мегабайт	мегабайта	m
ГБ	гігабайт	гігабайти	гігабайт	гігабайта	m
ТБ	терабайт	терабайти	терабайт	терабайта	m
ПБ	петабайт	петабайти	петабайт	петабайта	m
KB	кілобайт	кілобайти	кілобайт	кілобайта	m
MB	мегабайт	мегабайти	мегабайт	мегабайта	m
GB	гігабайт	гігабайти	гігабайт	гігабайта	m
TB	терабайт	терабайти	терабайт	терабайта	m
PB	петабайт	петабайти	петабайт	петабайта	m
KiB	кібібайт	кібібайти	кібібайт	кібібайта	m
MiB	мебібайт	мебібайти	мебібайт	мебібайта	m
GiB	гібібайт	гібібайти	гібібайт	гібібайта	m
TiB	тебібайт	тебібайти	тебібайт	тебібайта	m
кбіт/с	кілобіт за секунду	кілобіти за секунду	кілобітів за секунду	кілобіта за секунду	m
Кбіт/с	кілобіт за секунду	кілобіти за секунду	кілобітів за секунду	кілобіта за секунду	m
Мбіт/с	мегабіт за секунду	мегабіти за секунду	мегабітів за секунду	мегабіта за секунду	m
мбіт/с	мегабіт за секунду	мегабіти за секунду	мегабітів за секунду	мегабіта за секунду	m
Гбіт/с	гігабіт за секунду	гігабіти за секунду	гігабітів за секунду	гігабіта за секунду	m
гбіт/с	гігабіт за секунду	гігабіти за секунду	гігабітів за секунду	гігабіта за секунду	m
Н	ньютон	ньютони	ньютонів	ньютона	m
N	ньютон	ньютони	ньютонів	ньютона	m
еВ	електронвольт	електронвольти	електронвольтів	електронвольта	m
eV	електронвольт	електронвольти	електронвольтів	електронвольта	m
кеВ	кілоелектронвольт	кілоелектронвольти	кілоелектронвольтів	кілоелектронвольта	m
keV	кілоелектронвольт	кілоелектронвольти	кілоелектронвольтів	кілоелектронвольта	m
МеВ	мегаелектронвольт	мегаелектронвольти	мегаелектронвольтів	мегаелектронвольта	m
MeV	мегаелектронвольт	мегаелектронвольти	мегаелектронвольтів	мегаелектронвольта	m
ГеВ	гігаелектронвольт	гігаелектронвольти	гігаелектронвольтів	гігаелектронвольта	m
GeV	гігаелектронвольт	гігаелектронвольти	гігаелектронвольтів	гігаелектронвольта	m
ТеВ	тераелектронвольт	тераелектронвольти	тераелектронвольтів	тераелектронвольта	m
TeV	тераелектронвольт	тераелектронвольти	тераелектронвольтів	тераелектронвольта	m
кН	кілоньютон	кілоньютони	кілоньютонів	кілоньютона	m
kN	кілоньютон	кілоньютони	кілоньютонів	кілоньютона	m
Н·м	ньютон-метр	ньютон-метри	ньютон-метрів	ньютон-метра	m
N·m	ньютон-метр	ньютон-метри	ньютон-метрів	ньютон-метра	m
кН·м	кілоньютон-метр	кілоньютон-метри	кілоньютон-метрів	кілоньютон-метра	m
кг·м/с²	ньютон	ньютони	ньютонів	ньютона	m
кг·м/с2	ньютон	ньютони	ньютонів	ньютона	m
Па·с	паскаль-секунда	паскаль-секунди	паскаль-секунд	паскаль-секунди	f
Вт/м²	ват на квадратний метр	вати на квадратний метр	ват на квадратний метр	вата на квадратний метр	m
Вт/м2	ват на квадратний метр	вати на квадратний метр	ват на квадратний метр	вата на квадратний метр	m
кВт/м²	кіловат на квадратний метр	кіловати на квадратний метр	кіловат на квадратний метр	кіловата на квадратний метр	m
моль/л	моль на літр	молі на літр	молів на літр	моля на літр	m
ммоль/л	мілімоль на літр	мілімолі на літр	мілімолів на літр	мілімоля на літр	m
мг/кг	міліграм на кілограм	міліграми на кілограм	міліграмів на кілограм	міліграма на кілограм	m
мкг/м³	мікрограм на кубічний метр	мікрограми на кубічний метр	мікрограмів на кубічний метр	мікрограма на кубічний метр	m
мкг/м3	мікрограм на кубічний метр	мікрограми на кубічний метр	мікрограмів на кубічний метр	мікрограма на кубічний метр	m
кВт·год/100км	кіловат-година на сто кілометрів	кіловат-години на сто кілометрів	кіловат-годин на сто кілометрів	кіловат-години на сто кілометрів	f
кВт·год/100 км	кіловат-година на сто кілометрів	кіловат-години на сто кілометрів	кіловат-годин на сто кілометрів	кіловат-години на сто кілометрів	f
°	градус	градуси	градусів	градуса	m
хв.	хвилина	хвилини	хвилин	хвилини	f
год.	година	години	годин	години	f
# Common Latin and Unicode measurement symbols and written variants.
cm	сантиметр	сантиметри	сантиметрів	сантиметра	m
mm	міліметр	міліметри	міліметрів	міліметра	m
dm	дециметр	дециметри	дециметрів	дециметра	m
nm	нанометр	нанометри	нанометрів	нанометра	m
pm	пікометр	пікометри	пікометрів	пікометра	m
g	грам	грами	грамів	грама	m
mg	міліграм	міліграми	міліграмів	міліграма	m
L	літр	літри	літрів	літра	m
ml	мілілітр	мілілітри	мілілітрів	мілілітра	m
mL	мілілітр	мілілітри	мілілітрів	мілілітра	m
min	хвилина	хвилини	хвилин	хвилини	f
ms	мілісекунда	мілісекунди	мілісекунд	мілісекунди	f
Hz	герц	герци	герц	герца	m
kHz	кілогерц	кілогерци	кілогерц	кілогерца	m
MHz	мегагерц	мегагерци	мегагерц	мегагерца	m
GHz	гігагерц	гігагерци	гігагерц	гігагерца	m
kPa	кілопаскаль	кілопаскалі	кілопаскалів	кілопаскаля	m
MPa	мегапаскаль	мегапаскалі	мегапаскалів	мегапаскаля	m
kW	кіловат	кіловати	кіловат	кіловата	m
MW	мегават	мегавати	мегават	мегавата	m
Wh	ват-година	ват-години	ват-годин	ват-години	f
kWh	кіловат-година	кіловат-години	кіловат-годин	кіловат-години	f
kJ	кілоджоуль	кілоджоулі	кілоджоулів	кілоджоуля	m
MJ	мегаджоуль	мегаджоулі	мегаджоулів	мегаджоуля	m
mV	мілівольт	мілівольти	мілівольт	мілівольта	m
kV	кіловольт	кіловольти	кіловольт	кіловольта	m
MV	мегавольт	мегавольти	мегавольт	мегавольта	m
Ω	ом	оми	омів	ома	m
cm²	квадратний сантиметр	квадратні сантиметри	квадратних сантиметрів	квадратного сантиметра	m
cm2	квадратний сантиметр	квадратні сантиметри	квадратних сантиметрів	квадратного сантиметра	m
km²	квадратний кілометр	квадратні кілометри	квадратних кілометрів	квадратного кілометра	m
km2	квадратний кілометр	квадратні кілометри	квадратних кілометрів	квадратного кілометра	m
m²	квадратний метр	квадратні метри	квадратних метрів	квадратного метра	m
m2	квадратний метр	квадратні метри	квадратних метрів	квадратного метра	m
cm³	кубічний сантиметр	кубічні сантиметри	кубічних сантиметрів	кубічного сантиметра	m
cm3	кубічний сантиметр	кубічні сантиметри	кубічних сантиметрів	кубічного сантиметра	m
m³	кубічний метр	кубічні метри	кубічних метрів	кубічного метра	m
m3	кубічний метр	кубічні метри	кубічних метрів	кубічного метра	m
km/h	кілометр на годину	кілометри на годину	кілометрів на годину	кілометра на годину	m
m/s	метр за секунду	метри за секунду	метрів за секунду	метра за секунду	m
kg/m³	кілограм на кубічний метр	кілограми на кубічний метр	кілограмів на кубічний метр	кілограма на кубічний метр	m
g/cm³	грам на кубічний сантиметр	грами на кубічний сантиметр	грамів на кубічний сантиметр	грама на кубічний сантиметр	m
мкг	мікрограм	мікрограми	мікрограмів	мікрограма	m
µg	мікрограм	мікрограми	мікрограмів	мікрограма	m
μg	мікрограм	мікрограми	мікрограмів	мікрограма	m
мкл	мікролітр	мікролітри	мікролітрів	мікролітра	m
µL	мікролітр	мікролітри	мікролітрів	мікролітра	m
μL	мікролітр	мікролітри	мікролітрів	мікролітра	m
мкс	мікросекунда	мікросекунди	мікросекунд	мікросекунди	f
µs	мікросекунда	мікросекунди	мікросекунд	мікросекунди	f
μs	мікросекунда	мікросекунди	мікросекунд	мікросекунди	f
# Additional rates and compound units.
kg/m3	кілограм на кубічний метр	кілограми на кубічний метр	кілограмів на кубічний метр	кілограма на кубічний метр	m
g/cm3	грам на кубічний сантиметр	грами на кубічний сантиметр	грамів на кубічний сантиметр	грама на кубічний сантиметр	m
W/m²	ват на квадратний метр	вати на квадратний метр	ват на квадратний метр	вата на квадратний метр	m
W/m2	ват на квадратний метр	вати на квадратний метр	ват на квадратний метр	вата на квадратний метр	m
kW/m²	кіловат на квадратний метр	кіловати на квадратний метр	кіловат на квадратний метр	кіловата на квадратний метр	m
mol/L	моль на літр	молі на літр	молів на літр	моля на літр	m
mmol/L	мілімоль на літр	мілімолі на літр	мілімолів на літр	мілімоля на літр	m
mg/kg	міліграм на кілограм	міліграми на кілограм	міліграмів на кілограм	міліграма на кілограм	m
µg/m³	мікрограм на кубічний метр	мікрограми на кубічний метр	мікрограмів на кубічний метр	мікрограма на кубічний метр	m
μg/m³	мікрограм на кубічний метр	мікрограми на кубічний метр	мікрограмів на кубічний метр	мікрограма на кубічний метр	m
µg/m3	мікрограм на кубічний метр	мікрограми на кубічний метр	мікрограмів на кубічний метр	мікрограма на кубічний метр	m
μg/m3	мікрограм на кубічний метр	мікрограми на кубічний метр	мікрограмів на кубічний метр	мікрограма на кубічний метр	m
kWh/100km	кіловат-година на сто кілометрів	кіловат-години на сто кілометрів	кіловат-годин на сто кілометрів	кіловат-години на сто кілометрів	f
kbps	кілобіт за секунду	кілобіти за секунду	кілобітів за секунду	кілобіта за секунду	m
Mbps	мегабіт за секунду	мегабіти за секунду	мегабітів за секунду	мегабіта за секунду	m
Gbps	гігабіт за секунду	гігабіти за секунду	гігабітів за секунду	гігабіта за секунду	m
мА	міліампер	міліампери	міліамперів	міліампера	m
mA	міліампер	міліампери	міліамперів	міліампера	m
µA	мікроампер	мікроампери	мікроамперів	мікроампера	m
μA	мікроампер	мікроампери	мікроамперів	мікроампера	m
KB/s	кілобайт за секунду	кілобайти за секунду	кілобайтів за секунду	кілобайта за секунду	m
MB/s	мегабайт за секунду	мегабайти за секунду	мегабайтів за секунду	мегабайта за секунду	m
GB/s	гігабайт за секунду	гігабайти за секунду	гігабайтів за секунду	гігабайта за секунду	m
